match_id,game_number,map_name,map_type,map_winner,match_date,team_one_name,team_two_name,team_one_score,team_two_score,season
37284,2,Rialto,Escort,Shanghai Dragons,2021/05/29,Los Angeles Valiant,Shanghai Dragons,0.6252588163171982,1.097530994642424,2021
37285,3,Dorado,Escort,Philadelphia Fusion,2021/05/23,Chengdu Hunters,Philadelphia Fusion,0.5914692668712265,0.9456709357674035,2021
37286,3,Junkertown,Escort,New York Excelsior,2021/05/23,Guangzhou Charge,New York Excelsior,0.5626935094836151,0.9736773940266158,2021
37287,3,Rialto,Escort,Hangzhou Spark,2021/05/23,Hangzhou Spark,Shanghai Dragons,0.8821486241979508,0.25984811809267006,2021
37288,3,Rialto,Escort,Philadelphia Fusion,2021/05/22,New York Excelsior,Philadelphia Fusion,0.924921436213413,0.935958328801731,2021
37289,3,Junkertown,Escort,Shanghai Dragons,2021/05/22,Shanghai Dragons,Chengdu Hunters,1.1123389999743867,1.7170457565145605,2021
37290,3,Dorado,Escort,Hangzhou Spark,2021/05/22,Guangzhou Charge,Hangzhou Spark,0.5943136324745147,0.9816975042348369,2021
37291,4,Watchpoint: Gibraltar,Escort,Los Angeles Gladiators,2021/07/10,Los Angeles Gladiators,Washington Justice,1.768825772136435,0.5001576446284131,2021
37292,4,Junkertown,Escort,Dallas Fuel,2021/07/10,Toronto Defiant,Dallas Fuel,0.5119446730503674,1.8942948193900977,2021
37294,4,Watchpoint: Gibraltar,Escort,Dallas Fuel,2021/07/09,Dallas Fuel,Houston Outlaws,1.5218065004648735,0.5569623735053489,2021
37299,2,Route 66,Escort,Washington Justice,2021/07/04,Florida Mayhem,Washington Justice,0.8749923768163751,1.2408222795896329,2021
37300,2,Watchpoint: Gibraltar,Escort,Houston Outlaws,2021/07/04,Vancouver Titans,Houston Outlaws,0.8285830383118791,0.9597646853244901,2021
37301,2,Route 66,Escort,Atlanta Reign,2021/07/04,Dallas Fuel,Atlanta Reign,0.5746781840911821,1.5105350219883347,2021
37302,2,Junkertown,Escort,Houston Outlaws,2021/07/03,San Francisco Shock,Houston Outlaws,1.6564378831635078,1.1125228629743606,2021
37303,2,Watchpoint: Gibraltar,Escort,Florida Mayhem,2021/07/03,Florida Mayhem,Dallas Fuel,1.0463688664177884,0.552888914541672,2021
37304,2,Junkertown,Escort,Paris Eternal,2021/07/03,Vancouver Titans,Paris Eternal,0.18034222981143258,1.0026273205382379,2021
37305,2,Junkertown,Escort,Atlanta Reign,2021/07/02,Atlanta Reign,Washington Justice,1.6301174437801063,0.2430782585055223,2021
37306,2,Watchpoint: Gibraltar,Escort,San Francisco Shock,2021/07/02,San Francisco Shock,Paris Eternal,1.1895881534851507,0.9329212066700169,2021
37307,3,Route 66,Escort,Toronto Defiant,2021/06/28,Vancouver Titans,Toronto Defiant,0.2233491783888222,0.88596164648615,2021
37308,3,Junkertown,Escort,Boston Uprising,2021/06/27,Florida Mayhem,Boston Uprising,0.8745659987096717,0.8933215168698688,2021
37309,3,Route 66,Escort,Paris Eternal,2021/06/27,Los Angeles Gladiators,Paris Eternal,0.8519923865332684,0.8900369156633386,2021
37310,3,Watchpoint: Gibraltar,Escort,Boston Uprising,2021/06/27,Boston Uprising,Vancouver Titans,1.725211779041827,0.5270034647278545,2021
